target,text
65,tracking tjr dikontak admin bandung amp kirim data lengkap alamat tujuan foto pintu gerbang amp titik lokasi google map tidak tanggapan 
66,halo paket nomor tracking tjr 
67,aslii tunggu siang konfirmasi gk diproses datengin gudang 
68,teman teman paketnya nyangkut gila deh bad service banget teman temancu pakai daripda naek darah 
69,halo bangun siang coba koordinasi deh bagian klem oke oya mbak anggun kataya care 
70,halo min layanan packaging tidak ngirim barang pakai bungkus plastik bening disana dibungkus 
71,resi jtrkirim dr tanggl resi tracking tracking tulisannya resi tidak selambat memang memasukkan resi sistem 
72,terlambat tutup solusi omdo 
73,pagi kak admin cek paketnya kota tujuan semarang menunggu jadwal pengantaran mohon ditunggu kak estimasi maksimalnya pengiriman cek pengiriman 
74,halo kak triantika admin mohon maaf sdh membuat kakak tidak nyaman pelayanan admin yuli sdh proses laporannya via dm mohon dicek terima kasih aily 
75,pagi diproses 
76,tuh diproses proses pengirimannya 
77,min paket dikirim kaubun kaltim dinyatakan hilang ajukan klaim hilang paket pusat jakarta berkas tangerang prosesnya 
78,min kirim paket dr jawa aceh pakai jtr paket kg kira kena tarif kg kg baca web minimal kgtapi belanja shopee pakai jtr kg harga kg 
79,cerita pelayanan kargo jtr ntr barang tidak dikirim benar benar kecewa banget 
80,kirim barang trucking tangerang mamuju sulawesi barat pengirimannya 
81,halo min mohon bantu cek jnat status diterima tapu sdsi kurir dateng makasii 
82,dikerenakan kiriman obat malaysia penerima memiliki izin moh kementrian kesehatan malaysia tidak diproses penerusannya kak mohon ditunggu proses retur kak terima kasih opal 
83,hai kak mohon maaf permasalahan dialami mimin cek resi kirimannya laporannya informasi laporannya kirimannya proses pereturan keagen awal pengirimannya 
84,teman kirim vitamin hingga terima tracking mohon solusi 
85,barusan telpon kurirnya ga ga alamat rumah suruh ambil kantor 
86,sore kak wahyu mohon maaf yaa informasi kakak tidak nyaman admin cek kirimannya diproses mohon ditunggu estimasi kirimannya maksimal ditanggal cek pengiriman berkala 
87,claim nya 
88,status terkirim barang nama penerima beda cek resi 
89,gelo wkwk gmn 
90,punten kakak cc resi yes kirim siang habis zuhur ko lumayan lho ongkirnya bilangnya yes urgent banget isinya haduuuh 
91,halo selamat pagisaya tentag paket nomor resi jt status shopee damage case 
92,halo selamat pagisaya tentag paket nomor resi jt status shopee damage case 
93,kacau paket yes gadiperhatiin pantes pengiriman terlambat 
94,sih register mah hmm 
95,respon sorting center surabaya tidak ditelpon merugikan seller gini malas aktifkan marketplace 
96,iku pilihan nek wis dunia iki gaono hmmmz 
97,pas iko paketku sing terpaksa kerja e ketelisut ga gerak wekmu tidak parani ning warehouse malang telpon call center e ping sewu karo tidak kerja ramai kantor e barangku e metu ga suwe ngenteni sekarat 
98,rahasia doa terjawab ialah dalam kristus kristus mempelajari alkitab 
99,tidak bukan seminggu kurir nyampe 
100,halo nyediain fasilitas vacuum packing ga 
101,rahasia doa terjawab ialah dalam kristus kristus mempelajari alkitab 
102,rahasia doa terjawab ialah dalam kristus kristus mempelajari alkitab selaras doa doa sifat ajaran kristus doa cepat terkabul selamat beribadah menjalankan 
103,terima kasih barang diantarkan malam pegawai terdekat semalam menghubungi wa kedepannya pegawai lbh effort kerja malas an kerjakan kerjaan sop 
104,halo paket dikirim kurir mlm katanya rumah kosong dirumah kurirnya nganter krumah jt cek resi kan kurir dianter krumah 
105,estimasi tanggal dikirim aneh 
106,malam kak jen adm cek paket nomor resi tsb dalam proses pemberangkatan kota tujuan masuk kota tujuan mohon tunggu estimasi service register tracking kiriman kakak cek 
107,hallo mohon cek dm 
108,kirim barangnya resi estimasi kota molor kebiasaan lambat 
109,ngirim baju lebaran anak pakai nyampe eeh giliran kirim hp ribet pdhl penulisan alamat ooh 
110,seamat menjalankan shalat jumat beragama islam 
111,nya kepencet dijadiin kurir andai tangan nyangkut efek rebutan barang promo hapus 
112,ga diakses gini 
113,malam admin konfirmasi tracking paket pesan mei akun akulaku lokasi tokonya jakarta pusat alamat rumah tangerang selatan terkirim samarinda nama penerima berbeda 
114,branch sampang madura manejerialnya diperbaiki counter utama sampang kurirnya ngeselin 
115,resi nomor tjx pakai yes barang cek tracking keterangannya libur kantor buka seminggu 
116,ah parah banget diinstruksi packing kayu tidak alhasil device gamenya pecaah fak banget menangis anjing 
117,cek dm tidak balas mohon pertanggungjawaban paket 
118,hai kak octavia informasi perihal counter batu aji batam admin via dm yuk dicek terima kasih saki 
119,dmn almt batu aji batam 
120,kiriman via gudang tidak perlu komplain tabiat statusnya kantor tutup tidak komplain bikin eneg tidak sabar ambil tidak tunggu pengalaman 
121,sore kak octavia terkait tsb pastinya kakak konfirmasi pusat batamnya kak terkait pajak konfirm batamnya terima kasih dilan 
122,sabar admin mungkin pikiran pelampiasan adminnya semangat admin 
123,gafaham kurir sampang ngasal ngirim paketan 
124,maaf salah keterlaluan banget sih lapor pusat kurir nya kendala ga sih hehehe 
125,apapun tidak kak tidak yes doang register tidak nomor resi 
126,kak kirim surabaya tanggal smpai skr masi ketahan juanda pelayanan 
127,oke terima kasih 
128,dear orderan dikirim timbuktu ga nyampe dibreeding hub biar beranak pinak hub terdekat ga diantar kerumah dijemput patjar resi 
129,terima mila barangnya beda alamat penerima ditulis pengirim berbeda 
130,siang kak admn kiriman sdh diterima a mila keluarga saudara tanggal cek kiriman via link kakak tidak terima paketnya hubungi media social twitter terima kasih dika 
131,salah kirim please 
132,bisanya salah masang barcode salah masang barcode fatal ga paket harganya seenaknya ga ganti rugi alasan pdhl salah 
133,nomor handphone alternatif kakak pelapor admin tambahkan laporan terima kasih saki 
134,hai kak mohon maaf kejadian kakak alami tidak admin harapkan admin buatkan laporan pengaduan kakak perihal tsb mohon infokan via dm nama petugas cs melayani kakak alamat email kakak 
135,beneran pakai surabaya magetan pakai kargo sehari nyampe eh lha tidak keberadaannya paketnya 
136,maaf kak infokan via dm pelayanan membuat kakak tidak nyaman nama petugas kantor operasional area kak admn terkait terima kasih dika 
137,tegur ybs cs ramah 
138,layanan packing kantor perwakilan admn mika infokan kak terima kasih dika 
139,paketnya ambil keberatan pelayanan cs tidak ramah bilang bukan kemuan cs kantor temptkan cs 
140,tkyou kak berati kp matraman layanan packing 
141,hai kak alamat kp matraman jl matraman raya matraman jakarta timur kak terima kasih mika 
142,pagi kak mohon maaf pelayanan kakak terima admin cek terkait paketnya sdh pelaporan sdh dikoordinasikan terkait diinvestigasi mohon menunggu proses investigasi perkembangannya kak terima kasih aily 
143,update teman teman smlm paketku ketemu dibalikin penerima paketku trnyt paket salah alamat salah tempel barcode resi amazing kasian penerima paketku salah seller shopee nilai jt tidak barang tgg jwblah dzalim 
144,pagi min paket dikirim tanggal mei yes resi magelang jakarta dipercepat lekas terima kasih 
145,terima kasih respon matraman jl matraman raya a rw palmeriam kecamatan matraman kota jakarta timur daerah ibukota jakarta 
146,pagi kak packaging center kp tomang jakarta barat kp matraman jakarta timur kak terima kasih aily 
147,pagi kak fida admin cek estimasi pengiriman paketnya tanggal kirim status paket kakak sdg proses penerusan kota tujuan mohon ditunggu kak estimasi paketnya pengecekan kiriman akses link 
148,ga diantar cs ternate ditraining biar sopan dalam melayani costumer loh jasa pengiriman 
149,jasa pengemasan barang tidak counter 
150,halo admin paket pembelian dikirim via pertanggal jam paket keluar gateway jakarta tujuan kno medan hingga paket updated posisinya dibantu 
151,status pengiriman tidak bergerak mei cc 
152,pengecekan kiriman akses link ditanyakan silahkan hubungi media social twitter selamat beraktivitas terima kasih aily 
153,kirim paket teman ku gituu keterangannya diterima asing aneh banget kurirnya main kasi 
154,kan parah oknum sengaja blng paket hilang ga paket beneran hilang gmna beratnya smpe kg ga mungkin paket hilang keselip bentuknya ajh ganti barang jual untung 
155,benar banget balasan dm melempar kemari berbeda kota kerugian urus pusat bukan cabang tidak main lempar kemari 
156,malam kak mohon maaf ketidaknyamanannya terkait informasi kirimannya mimin via dm kak terima kasih opal 
157,resi gabisa tracking 
158,malam kak sherly amanda mohon maaf prosedur klaim diajukan kota kak terima kasih raka 
159,admin resi tidak bergerak mohon bantuannya dipercepat 
160,admin resi tidak bergerak mohon bantuannya dipercepat 
161,admin resi tidak bergerak mohon bantuannya dipercepat 
162,admin resi tidak bergerak mohon bantuannya dipercepat 
163,parah juta tidak kecil anggap kecil remeh tanggung jawab kembalikan rugi materiil imateriil 
164,email dipercepat email paling kecewa suruh urus kirim paket lampung jakarta wallah dzalim 
165,tidak penuhi tidak tanda tangan apapun dokumen membayar menggunakan yes dokumen butuh cepat berharap prioritaskan speak up kak kakak tidak 
166,tidak perkembangan kekeh ganti ongkos kirim kirim pakai yes bilang ganti ongkos kirim bayar senilai ajukan anggap nilai pantas dokumen dikirim 
167,hai kak mohon ditunggu infonya via dm terima kasih irwan 
168,kurir ga beres 
169,malam kak mohon maaf kak admin cek kirimannya mohon dibantu infokan resi kirimannya via dm terima kasih ardo 
170,kurir gaji suruh kerja benar he nganter ga rumah keterangan resi diterima barang ga dirumah ga konfirmasi 
171,malam kak ilma mohon maaf adm cek resi tsb sistem dicancel terkait tsb silahkan konfirmasi pengirim marketplace tracking kiriman kakak cek 
172,memang diterima admin senang terima kasih pelanggan setia ditanyakan silahkan hubungi media social twitter terima kasih ardo 
173,kak ditempatku gk pickup dikit paketan dipickup gk dianterin 
174,min packet awb kirim via tanggal siang hingga skr cma masi processed in sorting area juanda jam pagi tanggal hingga tanggal malam kemajuan 
175,gmna prosesnya perkembangan ajh tindakan buatin laporan 
176,semangay kak maslaah ku dilempar capek 
177,setuju tidak bertanggung jawab nilai kerugian ganti 
178,selamat malam kak perihal admin bantu ditanyakan seputar pengirimannya produk sungkan konfirmasikan via dm kak terima kasih sandi 
179,kak donk sopnya inikah paketan kurir ditiriskan 
180,setuju tidak bertanggung jawab nilai kerugian ganti dengam barang dokumen nominal utus urus dokumen 
181,kak dihubungi indra terkait telepon ditanyakan 
182,semangay kak maslaah ku dilempar capek banget buang rugi ganti rugi tidak sepadan kelalaian perbuat korban 
183,a thread paket rusak hilang terbakar penanganan buruk tidak pertanggung 
184,im with you kak kakak berhak hak kakak gatau anggap kehilangan remeh sepele kakak tidak semangat kak in shaa allah coba reguler yes wallah cepat tidak pakai hilang 
185,kak informasi silahkan hubungi twitter facebook cek status paket link terima kasih rio 
186,sore kak adm cek servicenya terhitung yes estimasinya besok kak maksimal paketnya dalam proses pemberangkatan kota tujuan kakak cek ditanyakan 
187,oi ga dikirim kirim barang lambat banget nyesel pakai kurirnya mogok aneh 
188,dibantu cek barang nomor resi tjr datangi kantor cabang jaraknya dr rumah tidak memuaskan perihal barang paketan update barang tsb 
189,cek pengiriman kak ditanyakan silahkan hubungi media sosial twitter kak terima kasih opal 
190,halo kak alamat nomer telepon daerah ngoresan jebres solo terima kasih 
191,ok kurir kawasan gemar menaruh barang seenaknya tidak rumah foto konfirmasi pemilik barang 
192,min cek validitas resi yes dikirim tanggal mei benar tidak posisi paket 
193,perusahaan sekelas tidak mutu pelayanannya melempar pengaduan customer koordinasi cabang manajemen pengelolaan komplainnya 
194,gila paket yes muter jakarta kapok tidak deh pakai pakai 
195,jakarta mojokerto seminggu nyampek allah 
196,informasi semarang amp jepara paket hilang butuhkan informasi tanggungjawab progres klaim uang bukan informasi tidak 
197,halo barang kiriman hilang tidak informasi dr tidak penyampaikan mekanisme klaim uang dr sibuk hub tidak callback penyampaian progresnya bad pelayanannya 
198,siang kak zaky admin cek paketnya dalam proses pemberangkatan kota tujuan estimasinya maksimal pengantaran jam mohon ditunggu pengecekan status paket kakak link 
199,beli paket dr seller dijepara seller pakai dr salah tempel nomor resi barang dikami hubungi smg amp jepara dijanji jepara amp semarang tiket pengaduannya srg 
200,resi jt barang mengendap tanggal tanggal statusnya not time deliveryemg kerja libur 
201,seamat menjalankan shalat jumat beragama islam 
202,seamat menjalankan shalat jumat beragama islam 
203,siang kak admin cek paketnya penerusan kota tujuan kota tujuan mohon ditunggu kak estimasi pengiriman cek pengiriman 
204,benar kak pakai tokopedia statusnya tokopedia waiting hampir alasan sellernya menunggu resi pengiriman dibatam 
205,min sistem pick up gmna pilih pick up shopee 
206,konfirmasi pengirimnya cek pengiriman ditanyakan silahkan hubungi media social twitter terima kasih saki 
207,pagi kak rivaldo admin cek resi resi terbaca sistem aketnya kirim kak resi dikirim tanggal jam nomor resi terbaca sdh x jam mohon cek 
208,malam kak dicky admin cek kirimannya masuk kota tujuannya penerusan menuju kota tujuannya mohon ditunggu estimasi kirimannya yaa cek pengiriman berkala 
209,selamat malam kak perihal admin bantu ditanyakan seputar pengirimannya produk sungkan konfirmasikan via dm kak terima kasih sandi 
210,bentuk profesionalnya jelaskan komplainnya wa blok prodesional 
211,kak kiriman handphone digunakan maka proses pengirimannya disarankan jalur darat laut kak gunakan layanan jtr trucking terima kasih irwan 
212,cek pengiriman ditanyakan sungkan konfirmasi media sosial twitter terima kasih sandi 
213,paket terima bilang paket hilang anj 
214,intinya pelayanan buruk 
215,cek pengiriman pakai my tidak pakai web tidak 
216,hai admin kirim barang pakai tujuannya jogja barang dikirim siang barangnya dikirim malam dikirim malam duluan siang resinya gk jalan min mohon bantuannya 
217,tjx dr sore msih stuck warehouse surabaya dikirim kurirnya yes hrusnya dikirim 
218,nomer kurir nya sdh kasih ancer nya tidak diperhatikan konfirmasi kudus 
219,kiriman nomor resi jt hampir mentok depok banget 
220,hai kak maksudnya kakak kirim paket depok kirim paket depok kak kirim paket depok maka infokan area kelurahan kecamatan kakak cek terdekat buka terima kasih irwan 
221,hii selamat sore kakak bantu via dm 
222,hai kak mohon maaf membuat tidak nyaman terkait kakak adm infokan via dm terima kasih tomi 
223,jam operasional kantor cabang jam jam 
224,min si admin salah catat nomor hp penerima paket via popbox dibantu min kasih kode popboxnya tidak 
225,selamat sore kak perihal admin bantu ditanyakan seputar pengirimannya produk sungkan konfirmasikan via dm kak terima kasih sandi 
226,sore kak anggi admin cek paketnya proses pengantaran alamat penerima mohon menunggu kak estimasi maksimal cek pengiriman 
227,hai kak syahrul mohon maaf adamin cek web normal mohon dicek terima kasih atta 
228,website error bad request perbaiki kak seller terganggu 
229,yth barang resi a sigit nana gini mei dalam nya skincare loh rusak nanggung terima kasih mohon balasan secepatnya 
230,min si admin salah catat nomor hp penerima paket via popbox dibantu min 
231,siang kak pengiriman hewan anjing kucing mohon infokan kota alamat tujuan kecamatan kabupaten via dm admin cek terima kasih aily 
232,mengirimkan hewan peliharan anjing kucing gmn nya terimakasih 
233,kak ayu mohon dibantu infokan via dm tanggal jam kejadian alamat email digunakan aplikasi login my nomor handphone digunakan aplikasi login my type amp merk handphone digunakan 
234,coba kak ga email cs blom balas 
235,siang kak ayu mohon maaf terkait akun my kakak terblokir sdh coba uninstall install aplikasinya terima kasih aily 
236,halo kak akun my blokir bantu 
237,hai kak tanggal kirim paket paketnya bertuliskan on process paket nya tanggal tujuan nya bekasi bantu tidak yah terimakasih 
238,pesen paket dikirim pakai yes ditangerang jam tu paket pakai oke seminggu sampenya lambat 
239,cek pengiriman berkala ditanyakan silahkan konfirmasi twitter terima kasih lucky 
240,halo paket resi tjx perubahan status dr malam pakai yes 
241,haduu deh pas dikirim rumah kondisinya kaya gamau ganti rugi unit wkwkw 
242,pagi kak hendri mohon maaf paket diterima kak admin cek paketnya proses operasional kota tujuan laporannya dikoordinasikan diproses terkait perihal paket diterima 
243,tidak beli barang kirim tanggal tidak tidak niat konfirmasi 
244,telfon care dihari jumat infokan lakukan refund maksimal rabu instruksikan laporannya tutup oke ikuti molor janji disuruh hubungi mp tidak progres bualan janji parah 
245,halo jumat malam konfirmasi hasil investigasi refund maksimal rabu tidak kejelasan dijanjikan janjikan 
246,kak beli baju kondangan jan tidak kawin grgr e 
247,haduh nerima ikan nila 
248,pagi kak ony admin cek jadwal pengantaran diantarkan alamat penerima pengirimannya dalam estimasi mohon ditunggu pengecekan status paket kakak link 
249,ehh cok si cepat 
250,speak up kak tidak ampun bikin berantakan rencana bikin susah nya dicepat bertele 
251,emg bobrok pelayanannya beda si 
252,pusat 
253,bosku masi gini gk pergerakan 
254,samperin kantor pusat bagian penerimaan komplain kantor ngirim 
255,pagi kak admin cek resi nlidap terbaca disistem resi dikirim tanggal kak resi terbaca x jam mohon cek kak cek pengiriman kak 
256,bantu follup pesanan lazada metode cod niat cancel seller respon nlidap cancel rumah cancel 
257,pagi kak admin cek paketnya dalam proses penerusan kota tujuannya mohon ditunggu estimasi maksimalnya pengiriman maksimal tanggal cek pengiriman berkala 
258,pagi min resi jt posisi status shopee dr tanggal mei received by counter of officer at tangerang dikirim tujuan amp proses perjalanan posisi digudang tangerang 
259,pagi kak terima kasih sarannya admin bantu perihal kiriman layanan silahkan infokan via dm terima kasih saki 
260,neh 
261,salam bangke babi bagian operasionalnya disana 
262,sdg mengajukan pengembalian barang semoga approve kenyamanan mmg terganggu pakai biadab 
263,tindak suspen si pembeli 
264,dr history komplain sdh ga muat dibukukan stop total pakai pelayananny bangke 
265,tidak perlu bantu ngecek mantau barangnya tidak bergerak payah 
266,infokan karyawan brengsek dsitu biadab nahan paket berhari dr awal sdh ga niat pakai biadab terpaksa dealkan seller cmn pakai babi 
267,halo koplak stts paket update paket wktu nahan paket karyawanny manusia anjing 
268,pick up 
269,hai kak rio mohon maaf kejadian kakak alami laporan kakak ditangani tim terkait banjarnegara pemalang informasi tim terkait terhubung penerima 
270,hai kak mario counter buka jam jakarta timur kantor perwakilan matraman beralamat jl matramana raya matraman jakarta timur nomor telepon kak terima kasih dani 
271,min jam daerah cawang kalimalang ga terima kasih 
272,haloo 
273,neh 
274,min amp pengirim paket penjual teriak teriak tuh solusinya 
275,halo paket lebaran dianter parah pelayanannya tanggal jakarta resi 
276,halo paket lebaran dianter parah pelayanannya tanggal jakarta resi 
277,tracking resi nya 
278,kak hitungin ongkos kirim jtr bogor kota binus jakarta barat p x l x t cmx cmx kg ditunggu kak jawabannya thankyuu 
279,keterlaluan kirim paket informasi barang diteruskanmelalui moda transportasi tidak lulus x ray barusan telepon infokan tnyata ketemu nya kasih informasi tidak valid customer alasan pakai mengulur 
280,menggunakan jasa pengiriman gk hampir tanggal sampek tanggal gk kabar c 
281,menggunakan jasa pengiriman gk hampir tanggal sampek tanggal gk kabar ceck resi gk berubah situ menghubungi balasan menunggu comfirmasi kejelasan 
282,malam fenomena gerhana total bertepat waisak hampir selur 
283,malam fenomena gerhana total bertepat waisak hampir selur 
284,malam fenomena gerhana total bertepat waisak hampir selur 
285,malam fenomena gerhana total bertepat waisak hampir selur 
286,malam fenomena gerhana total bertepat waisak hampir selur 
287,malam fenomena gerhana total bertepat waisak hampir selur 
288,serem 
289,malam fenomena gerhana total bertepat waisak hampir wilayah menyaksikan super blood moon lhooo 
290,cod cash or duel 
291,kirim taiwan 
292,nyesel deh pilih pick up marketplace paket pick up nyuruh konfirm marketplace sistem berjalan cust konfirm aneh lambat 
293,hallo yess lupa 
294,sore kak admin cek paketnya pengantaran alamat penerima mohon menunggu pengantarannya estimasi pengecekan silahkan akses link kak terima kasih nanda 
295,neh 
296,hai kak mohon infokan center mohon infokan kecamatannya syatiar 
297,tidak tanggapi parah jnemau barang cukupkan 
298,center stnknya tujuan pakai scan 
299,yauda kmu gih edukasi masyarakat mas he semangat 
300,si dihilangin saudara laki laki ga mungkin tidak kejadian dilapangan tindakan mengurangi dilakuin sistem benar saudara laki laki literasi orng 
301,siang kak ega admin cek paketnya dalam proses penerusan kota tujuan estimasinya maksimal pengantaran jam mohon ditunggu pengecekan status paket kakak link 
302,bah hapus hapus 
303,menghapus sistem established ongoing krena bbrapa ulah oknum sellernya pikir bukan langkah bijak sistemnya diperbaiki perlindungan thdp kurir ekspedisinya diperhatiin e commerce lupa campaign cod digencarin 
304,hallo kaaa seller salah nulis tempatnya pesanan gudang karadenan dikirim sih pas cek my pas lihat bogor barat kan bogor selatan ngeemail dibales help 
305,pribadi coba lihat pribadi kurir kurir diancem melulu gih 
306,resi tjc tanggal tanggal may loh kirimnya 
307,kak setia menggunakan jasa kak terima kasih anya 
308,mohon dibantu dm kiriman tanggal tidak keberadaannya dikirim tidak mohon dibantu min 
309,kejadian diatas kan sebenernya sistem transaksi model cod paling kena getah nya ketimbang yanh bayar seh mesti tiadakan 
310,betulll bukan paket ga salahin kurir uang kurir nganter bukan ngejual kan caranya return 
311,bantu jawab min admin kasih status track shopee memang lambat update kak coba cek resi pakai statusnya rawa gelam jakarta sbg seller shopee edukasi 
312,bukan cod deh divideo si uangnya dibayar si bawa samurai bayarnya transfer itumah si bapaknya edukasi belanja online 
313,neh 
314,siang kak fajar kantor utama amp kantor perwakilan beroperasional agen kebijakan agen tsb cek pengiriman 
315,kurir libur tidak mengirim paket paket stuck margonda depok jam segini 
316,pagi kak admin cek paketnya proses penerusan kota tujuan mohon menunggu pengantarannya estimasi pengecekan silahkan akses link kak selamat beraktivitas terima kasih nanda 
317,neh 
318,disini melayani pelanggan menyediakan wa diliat profil rapi engga mudah an keluarga ga disusahkan doa 
319,males ga perlu belanja online rebahan buka twitter nyusahin 
320,buka 
321,neh 
322,stuju sih mbak perbaikan sistem pengemasan pengiriman penerimaan barang proses pengajuan retur barang dipermudah perlu e commerce adain fitur vc ga chat biar buyer contact dg sellernya 
323,lazada sistem cod kejadian beginian user sih paket dibuka seller paket rusak seller komplain lazada sistemnya dibenahi dibebankan kurir 
324,aduh x ga benar ngirim barang baca alamat lengkapnya jl swadaya bukan jati agung terakhirnya kasih tanjung seneng bandar lampung ga pakai jasa pakai tidak kendala 
325,barangnya dibutuhkan tidak nyampe estimasi perjalanan lambat banget parah 
